level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;17;-12;3;6;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;62;3;37;8;7;7;112;112;CutTomato;Normal;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;106;97;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;91;82;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;74;65;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;62;53;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;44;35;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;35;33;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;28;19;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;19;17;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;62;3;37;8;7;7;3;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Breno;1;60;1;Bad;22;1;-23;33;8;5;89;79;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-23;33;8;5;79;79;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-23;33;8;5;74;63;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-23;33;8;5;61;50;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-23;33;8;5;45;45;DeliverOrder;Angry;yes;
