level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;30;-51;3;7;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;117;108;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;107;98;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;97;89;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;88;79;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;69;67;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;67;58;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;52;52;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;49;40;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;36;34;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;27;18;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;17;9;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;9;6;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;66;3;50;-23;3;7;3;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;46;2;50;-24;3;7;86;78;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;50;-24;3;7;77;69;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;50;-24;3;7;68;60;CutOnion;Happy;yes;
