level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;27;23;8;8;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;0;1;17;18;6;6;82;73;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;61;52;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;51;43;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;37;28;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;25;25;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;17;15;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;6;0;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;0;1;17;18;6;6;0;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;46;2;18;17;6;6;85;76;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;73;64;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;64;55;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;54;45;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;44;41;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;32;24;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;18;10;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;4;2;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;18;17;6;6;0;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;84;76;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;73;73;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;70;70;CutTomato;Sleepy;no;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;61;53;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;50;42;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;37;34;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;31;22;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;20;12;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;9;7;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;46;2;23;19;-1;7;2;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;87;77;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;73;73;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;70;59;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;57;57;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;55;38;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;38;30;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;29;29;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;27;12;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;4;4;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;3;3;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;1;1;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;24;1;12;14;-1;-1;0;0;DeliverOrder;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;87;87;CutTomato;Normal;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;85;85;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;83;73;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;72;61;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;57;42;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;41;33;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;32;32;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;30;30;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;27;27;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;26;26;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;25;10;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;24;1;-8;-19;-1;-1;10;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;87;79;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;78;69;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;69;60;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;57;53;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;51;40;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;40;31;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;31;27;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;24;14;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;13;3;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;2;0;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;70;3;10;11;-1;6;0;0;CutOnion;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;88;80;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;80;71;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;70;60;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;60;55;DeliverOrder;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;53;43;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;43;33;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;32;28;DeliverOrder;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;25;14;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;13;4;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;3;0;DeliverOrder;Confused;yes;
6;Carlos;2;20;0;Neutral;70;3;16;13;-1;6;0;0;CutTomato;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;86;78;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;78;69;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;68;60;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;59;56;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;55;46;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;45;45;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;42;34;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;31;28;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;24;24;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;22;13;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;12;4;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;12;12;4;6;1;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;89;80;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;79;71;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;70;62;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;61;58;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;56;47;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;46;37;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;36;36;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;34;34;DeliverOrder;Sleepy;no;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;32;32;DeliverOrder;Sleepy;no;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;32;29;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;27;27;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;26;17;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;16;7;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;6;3;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;1;1;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;11;14;4;-1;0;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
9;Eva;1;60;1;Bad;22;1;-17;11;4;-1;85;69;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;22;1;-17;11;4;-1;68;68;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;22;1;-17;11;4;-1;67;67;CutOnion;Sleepy;no;
