level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;19;-12;4;6;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;90;81;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;74;66;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;61;61;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;56;47;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;47;47;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;45;36;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;35;26;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;16;7;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;0;1;-2;-15;4;5;3;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;85;77;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;76;68;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;66;57;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;56;56;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;52;43;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;42;40;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;34;25;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;24;22;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;19;10;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;9;1;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;48;2;-9;9;4;-1;0;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;70;3;14;2;-1;-1;85;85;CutOnion;Normal;yes;
