level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;26;31;2;7;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;105;105;CutOnion;Normal;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;104;96;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;91;91;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;85;77;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;65;56;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;54;52;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;48;39;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;38;30;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;21;21;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;14;12;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;-2;34;2;7;7;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;85;77;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;71;62;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;58;49;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;45;36;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;30;30;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;28;26;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;21;19;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;19;10;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-16;40;3;6;7;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;89;80;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;80;72;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;71;63;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;58;49;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;49;49;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;49;49;DeliverOrder;Sleepy;no;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;49;46;DeliverOrder;Happy;yes;
