level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;18;-17;1;-1;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;99;90;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;83;74;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;62;60;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;52;43;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;42;34;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;20;17;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;10;1;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;23;-24;1;7;1;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;85;85;CutTomato;Normal;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;78;69;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;69;60;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;55;55;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;52;44;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;42;42;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;35;32;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;32;23;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;18;18;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;17;8;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;7;6;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;24;-20;1;6;2;0;DeliverOrder;Happy;yes;
