[Clicked] Open TCLE Button was clicked.
[Clicked] Open TCLE Button was clicked.
[EmojiGridHandler] Open EmojiGrid Box.
[FileManager] Data will be saved at: C:/Users/FRANCISCOCabelo/Desktop/Undercooked-master/git/Undercooked/Assets/results/13-08-2024_16-59_levels.csv
[FileManager] Data will be saved at: C:/Users/FRANCISCOCabelo/Desktop/Undercooked-master/git/Undercooked/Assets/results/13-08-2024_16-59_panas.csv
[DatabaseToCsv] Cleaning Level.
[DatabaseToCsv] Starting storage.
[Clicked] Open Sam Button was clicked.
[SamHandler] Open SAM Painel.
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (960)
[DatabaseToCsv] Valence ->>>> (961,5817)
[DatabaseToCsv] Valence ->>>> (964,7452)
[DatabaseToCsv] Valence ->>>> (969,4903)
[DatabaseToCsv] Valence ->>>> (975,8172)
[DatabaseToCsv] Valence ->>>> (982,1441)
[DatabaseToCsv] Valence ->>>> (991,6345)
[DatabaseToCsv] Valence ->>>> (1002,706)
[DatabaseToCsv] Valence ->>>> (1013,779)
[DatabaseToCsv] Valence ->>>> (1020,105)
[DatabaseToCsv] Valence ->>>> (1031,177)
[DatabaseToCsv] Valence ->>>> (1039,086)
[DatabaseToCsv] Valence ->>>> (1048,576)
[DatabaseToCsv] Valence ->>>> (1056,485)
[DatabaseToCsv] Valence ->>>> (1064,394)
[DatabaseToCsv] Valence ->>>> (1065,975)
[DatabaseToCsv] Valence ->>>> (1070,721)
[DatabaseToCsv] Valence ->>>> (1075,466)
[DatabaseToCsv] Valence ->>>> (1077,047)
[DatabaseToCsv] Valence ->>>> (1080,211)
[DatabaseToCsv] Valence ->>>> (1083,374)
[DatabaseToCsv] Valence ->>>> (1083,374)
[DatabaseToCsv] Valence ->>>> (1084,956)
[DatabaseToCsv] Valence ->>>> (1084,956)
[DatabaseToCsv] Valence ->>>> (1084,956)
[DatabaseToCsv] Valence ->>>> (1084,956)
[DatabaseToCsv] Valence ->>>> (1088,12)
[DatabaseToCsv] Valence ->>>> (1092,865)
[DatabaseToCsv] Valence ->>>> (1097,61)
[DatabaseToCsv] Valence ->>>> (1105,518)
[DatabaseToCsv] Valence ->>>> (1115,009)
[DatabaseToCsv] Valence ->>>> (1126,081)
[DatabaseToCsv] Valence ->>>> (1133,989)
[DatabaseToCsv] Valence ->>>> (1141,898)
[DatabaseToCsv] Valence ->>>> (1149,807)
[DatabaseToCsv] Valence ->>>> (1152,97)
[DatabaseToCsv] Valence ->>>> (1157,715)
[DatabaseToCsv] Valence ->>>> (1160,879)
[DatabaseToCsv] Valence ->>>> (1164,042)
[DatabaseToCsv] Valence ->>>> (1165,624)
[DatabaseToCsv] Valence ->>>> (1165,624)
[DatabaseToCsv] Valence ->>>> (1167,206)
[DatabaseToCsv] Valence ->>>> (1167,206)
[DatabaseToCsv] Valence ->>>> (1170,369)
[DatabaseToCsv] Valence ->>>> (1175,114)
[DatabaseToCsv] Valence ->>>> (1178,278)
[DatabaseToCsv] Valence ->>>> (1179,859)
[DatabaseToCsv] Valence ->>>> (1183,023)
[DatabaseToCsv] Valence ->>>> (1184,604)
[DatabaseToCsv] Valence ->>>> (1186,186)
[DatabaseToCsv] Valence ->>>> (1189,35)
[DatabaseToCsv] Valence ->>>> (1190,931)
[DatabaseToCsv] Valence ->>>> (1190,931)
[DatabaseToCsv] Valence ->>>> (1194,095)
[DatabaseToCsv] Valence ->>>> (1197,258)
[DatabaseToCsv] Valence ->>>> (1202,004)
[DatabaseToCsv] Valence ->>>> (1203,585)
[DatabaseToCsv] Valence ->>>> (1208,33)
[DatabaseToCsv] Valence ->>>> (1211,494)
[DatabaseToCsv] Valence ->>>> (1214,657)
[DatabaseToCsv] Valence ->>>> (1216,239)
