level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;28;27;-1;8;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;2;1;-11;12;6;7;100;91;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;2;1;-11;12;6;7;80;72;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;2;1;-11;12;6;7;45;42;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;2;1;-11;12;6;7;32;23;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;2;1;-11;12;6;7;16;8;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;86;78;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;78;78;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;68;59;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;45;36;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;32;24;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;23;20;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;12;2;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;44;2;-20;16;6;7;0;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;22;1;11;15;7;6;81;81;CutOnion;Normal;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;76;68;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;63;55;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;51;42;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;37;28;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;26;17;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;17;15;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;10;1;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;22;1;11;15;7;6;0;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;0;0;-30;43;8;-1;85;68;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;0;0;-30;43;8;-1;65;51;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;0;0;-30;43;8;-1;46;28;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;0;0;-30;43;8;-1;22;7;CutOnion;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;86;86;CutOnion;Normal;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;78;70;CutOnion;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;62;52;CutOnion;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;46;36;CutTomato;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;33;24;CutTomato;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;20;20;DeliverOrder;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;11;7;DeliverOrder;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;5;5;DeliverOrder;Confused;yes;
4;Carlos;2;20;1;Neutral;22;1;-24;45;9;-1;0;0;DeliverOrder;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;85;75;CutTomato;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;73;62;CutTomato;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;59;48;CutTomato;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;46;46;CutOnion;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;36;36;CutOnion;Sleepy;no;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;29;14;CutOnion;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;13;13;CutTomato;Angry;yes;
5;Breno;1;60;0;Bad;0;0;-47;45;9;4;6;6;DeliverOrder;Sleepy;no;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
6;Carlos;2;20;0;Neutral;22;1;-20;20;6;6;86;86;CutOnion;Normal;yes;
6;Carlos;2;20;0;Neutral;22;1;-20;20;6;6;80;80;CutOnion;Sleepy;no;
6;Carlos;2;20;0;Neutral;22;1;-20;20;6;6;72;62;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;22;1;-20;20;6;6;60;60;CutOnion;Confused;yes;
