level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;26;25;2;8;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;93;85;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;74;65;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;59;59;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;41;39;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;35;25;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;25;17;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;32;2;-17;14;6;8;6;3;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;85;74;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;69;69;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;68;57;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;55;55;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;49;49;CutOnion;Sleepy;no;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;48;36;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;36;36;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;22;1;-50;51;9;7;34;27;DeliverOrder;Angry;yes;
