level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;18;-5;2;6;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;113;105;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;102;94;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;93;85;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;85;80;DeliverOrder;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;80;70;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;70;61;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;61;61;DeliverOrder;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;61;57;DeliverOrder;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;56;56;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;56;46;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;45;37;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;33;29;DeliverOrder;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;29;18;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;17;8;CutTomato;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;8;4;DeliverOrder;Confused;yes;
0;Carlos;2;20;2;Neutral;80;4;23;30;4;7;4;0;CutTomato;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;87;87;CutTomato;Normal;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;86;76;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;72;61;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;61;61;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;61;51;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;50;42;DeliverOrder;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;42;42;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;42;42;CutTomato;Sleepy;no;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;42;42;CutTomato;Sleepy;no;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;41;41;CutTomato;Sleepy;no;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;41;25;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;25;25;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;25;14;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;13;13;DeliverOrder;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;13;13;DeliverOrder;Sleepy;no;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;13;13;DeliverOrder;Sleepy;no;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;13;5;DeliverOrder;Angry;yes;
1;Breno;1;60;1;Bad;46;2;-31;27;7;5;5;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;87;77;CutTomato;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;75;75;CutTomato;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;72;72;CutTomato;Sleepy;no;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;72;61;CutTomato;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;61;48;CutOnion;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;48;48;DeliverOrder;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;48;39;DeliverOrder;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;39;39;CutOnion;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;39;24;CutOnion;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;24;13;CutTomato;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;13;13;DeliverOrder;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;13;5;DeliverOrder;Angry;yes;
2;Breno;1;60;0;Bad;46;2;-30;21;7;-1;5;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;86;78;CutOnion;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;77;68;CutOnion;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;60;58;DeliverOrder;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;56;46;CutOnion;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;45;36;CutOnion;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;36;27;CutTomato;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;27;25;DeliverOrder;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;23;15;CutTomato;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;15;6;CutTomato;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;6;4;DeliverOrder;Happy;yes;
3;Ana;4;10;1;Good;70;3;-7;-10;7;4;3;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;87;79;CutOnion;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;78;69;CutOnion;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;69;61;CutTomato;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;57;55;DeliverOrder;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;53;44;CutTomato;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;43;34;CutOnion;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;34;32;DeliverOrder;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;28;20;CutOnion;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;20;11;CutTomato;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;9;7;DeliverOrder;Happy;yes;
4;Ana;4;10;0;Good;60;3;-11;13;8;4;3;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;87;79;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;79;70;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;70;61;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;61;57;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;55;45;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;45;45;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;44;36;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;36;32;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;32;32;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;32;21;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;20;12;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;12;12;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;12;7;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;7;7;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;50;3;-29;9;6;4;7;0;CutOnion;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;87;87;CutTomato;Normal;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;87;87;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;87;87;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;86;77;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;74;74;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;74;74;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;74;74;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;74;63;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;63;53;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;52;52;DeliverOrder;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;52;52;DeliverOrder;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;50;50;DeliverOrder;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;50;50;DeliverOrder;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;50;50;DeliverOrder;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;50;50;DeliverOrder;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;48;40;DeliverOrder;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;40;40;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;39;23;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;22;22;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;22;22;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;22;11;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;11;3;DeliverOrder;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;1;1;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;1;1;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;1;1;CutTomato;Sleepy;no;
6;Eva;1;60;1;Bad;46;2;-16;43;8;-1;1;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
7;Danilo;3;30;1;Good;72;3;-3;17;6;-1;87;79;CutTomato;Happy;yes;
