level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;45;27;2;8;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;112;103;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;100;92;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;74;65;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;54;54;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;54;45;CutOnion;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;42;34;CutTomato;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;33;33;DeliverOrder;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;27;25;DeliverOrder;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;14;12;DeliverOrder;Happy;yes;
0;Danilo;3;30;2;Good;30;2;-18;20;3;4;4;0;CutTomato;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;86;76;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;73;62;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;52;40;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;39;28;CutOnion;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;24;24;DeliverOrder;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;22;11;CutTomato;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;11;11;DeliverOrder;Angry;yes;
1;Breno;1;60;1;Bad;20;1;-47;26;3;4;7;0;DeliverOrder;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Eva;1;60;1;Bad;46;2;-10;0;2;5;89;89;CutTomato;Normal;yes;
2;Eva;1;60;1;Bad;46;2;-10;0;2;5;86;86;CutTomato;Sleepy;no;
