level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;27;31;2;7;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;116;116;CutTomato;Normal;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;112;104;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;56;48;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;42;33;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;27;18;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;11;9;DeliverOrder;Happy;yes;
0;Ana;4;10;2;Good;0;1;-30;41;-1;-1;5;0;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;89;81;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;79;79;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;75;66;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;63;54;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;49;49;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;45;42;DeliverOrder;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;37;29;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;27;19;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;8;0;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;46;2;-6;5;6;-1;0;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;90;81;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;80;71;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;70;61;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;54;51;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;49;40;CutTomato;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;39;30;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;29;27;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;20;12;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;11;-7;4;6;4;2;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;90;90;CutTomato;Normal;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;87;87;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;81;64;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;57;45;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;43;43;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;38;38;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;36;26;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;21;21;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;20;20;DeliverOrder;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;20;12;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;9;9;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-18;16;6;4;5;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;86;86;CutTomato;Normal;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;81;81;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;77;77;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;63;53;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;50;50;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;48;48;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;47;36;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;27;27;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;25;25;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;24;16;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;22;1;-50;-1;7;1;13;0;CutOnion;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;85;77;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;74;65;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;57;57;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;55;51;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;48;38;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;46;2;14;-3;-1;-1;36;36;CutOnion;Confused;yes;
