level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
-1;;1;30;2;Good;0;0;49;-29;5;7;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;98;90;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;78;69;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;57;57;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;57;48;CutTomato;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;38;38;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;38;29;CutOnion;Happy;yes;
0;Ana;4;10;2;Good;-60;0;50;-39;6;6;10;1;CutOnion;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;81;73;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;60;51;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;47;38;CutTomato;Happy;yes;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;37;37;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;31;22;CutOnion;Happy;yes;
1;Ana;4;10;1;Good;22;1;50;-10;7;7;7;5;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;24;1;50;3;7;7;84;76;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;66;58;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;44;36;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;34;31;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;26;17;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;7;0;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;24;1;50;3;7;7;0;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;85;75;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;67;67;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;66;66;CutOnion;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;65;65;CutOnion;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;60;60;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;58;58;CutOnion;Sleepy;no;
